2025-05-29 11:09:20,628 INFO  DiagnosticService.Logging.Log4NetLoggingService - Spouštím modul: DeviceInfo
2025-05-29 11:09:20,669 INFO  DiagnosticService.Logging.Log4NetLoggingService - Modul DeviceInfo úspešne dokoncen.
2025-05-29 11:09:20,669 INFO  DiagnosticService.Logging.Log4NetLoggingService - Spouštím modul: EventLog
2025-05-29 11:09:23,514 INFO  DiagnosticService.Logging.Log4NetLoggingService - Modul EventLog úspešne dokoncen.
2025-05-29 11:09:23,514 INFO  DiagnosticService.Logging.Log4NetLoggingService - Spouštím modul: TimeSync
2025-05-29 11:09:27,199 INFO  DiagnosticService.Logging.Log4NetLoggingService - Modul TimeSync úspešne dokoncen.
2025-05-29 11:09:29,615 INFO  DiagnosticService.Logging.Log4NetLoggingService - Výstupní soubor vytvoren: output/diagnostics.json
2025-05-29 11:14:21,077 INFO  DiagnosticsService.Program - Spouštím MyService...
2025-05-29 11:14:21,848 INFO  DiagnosticService.Logging.Log4NetLoggingService - MyService byl úspešne inicialízován
2025-05-29 11:14:21,919 INFO  DiagnosticService.Logging.Log4NetLoggingService - Inicializuji modul: DeviceInfo
2025-05-29 11:14:21,964 INFO  DiagnosticService.Logging.Log4NetLoggingService - Modul DeviceInfo byl úspešne inicializován.
2025-05-29 11:14:21,964 INFO  DiagnosticService.Logging.Log4NetLoggingService - Inicializuji modul: EventLog
2025-05-29 11:14:26,394 INFO  DiagnosticService.Logging.Log4NetLoggingService - Modul EventLog byl úspešne inicializován.
2025-05-29 11:14:26,394 INFO  DiagnosticService.Logging.Log4NetLoggingService - Inicializuji modul: TimeSync
2025-05-29 11:14:29,716 INFO  DiagnosticService.Logging.Log4NetLoggingService - Modul TimeSync byl úspešne inicializován.
2025-05-29 11:14:30,889 INFO  DiagnosticService.Logging.Log4NetLoggingService - Výstupní soubor vytvoren: output/diagnostics.json
2025-05-29 11:17:53,870 INFO  DiagnosticsService.Program - Inicializuji MyService...
2025-05-29 11:17:55,460 INFO  DiagnosticService.Logging.Log4NetLoggingService - MyService byl úspešne inicialízován
2025-05-29 11:17:55,491 INFO  DiagnosticService.Logging.Log4NetLoggingService - Inicializuji modul: DeviceInfo
2025-05-29 11:17:55,545 INFO  DiagnosticService.Logging.Log4NetLoggingService - Modul DeviceInfo byl úspešne inicializován, probehl, a byl ukoncen..
2025-05-29 11:17:55,546 INFO  DiagnosticService.Logging.Log4NetLoggingService - Inicializuji modul: EventLog
2025-05-29 11:17:57,564 INFO  DiagnosticService.Logging.Log4NetLoggingService - Modul EventLog byl úspešne inicializován, probehl, a byl ukoncen..
